Index,Time,Humidity (%),Temperature (C )
1,10/20/22 12:37 AM,48,26
1,10/20/22 12:38 AM,48,26
1,10/20/22 12:39 AM,51,26
1,10/20/22 12:41 AM,49,26
1,10/20/22 12:42 AM,49,26
1,10/20/22 12:43 AM,49,26
1,10/20/22 12:45 AM,49,26
1,10/20/22 12:46 AM,49,26
1,10/20/22 12:47 AM,49,26
1,10/20/22 12:49 AM,49,26
1,10/20/22 12:50 AM,49,26
1,10/20/22 12:51 AM,49,26
1,10/20/22 12:53 AM,49,26
1,10/20/22 12:54 AM,49,26
1,10/20/22 12:55 AM,49,26
1,10/20/22 12:57 AM,49,26
1,10/20/22 12:58 AM,49,26
1,10/20/22 12:59 AM,49,26
1,10/20/22 1:01 AM,49,26
1,10/20/22 1:02 AM,50,26
1,10/20/22 1:03 AM,50,26
1,10/20/22 1:05 AM,50,26
1,10/20/22 1:06 AM,50,26
1,10/20/22 1:07 AM,50,26
1,10/20/22 1:09 AM,50,26
1,10/20/22 1:10 AM,50,26
1,10/20/22 1:12 AM,50,26
1,10/20/22 1:13 AM,50,26
1,10/20/22 1:14 AM,50,26
1,10/20/22 1:16 AM,50,26
1,10/20/22 1:17 AM,50,26
1,10/20/22 1:18 AM,50,26
1,10/20/22 1:20 AM,50,26
1,10/20/22 1:21 AM,50,26
1,10/20/22 1:22 AM,50,26
1,10/20/22 1:24 AM,50,26
1,10/20/22 1:25 AM,50,26
1,10/20/22 1:26 AM,50,26
1,10/20/22 1:28 AM,50,26
1,10/20/22 1:29 AM,50,26
1,10/20/22 1:30 AM,50,26
1,10/20/22 1:32 AM,50,26
1,10/20/22 1:33 AM,50,26
1,10/20/22 1:34 AM,50,26
1,10/20/22 1:36 AM,50,26
1,10/20/22 1:37 AM,50,26
1,10/20/22 1:38 AM,50,26
1,10/20/22 1:40 AM,50,26
1,10/20/22 1:41 AM,49,26
1,10/20/22 1:43 AM,49,26
1,10/20/22 1:44 AM,49,26
1,10/20/22 1:45 AM,49,26
1,10/20/22 1:47 AM,49,26
1,10/20/22 1:48 AM,49,26
1,10/20/22 1:49 AM,49,26
1,10/20/22 1:51 AM,49,26
1,10/20/22 1:52 AM,49,26
1,10/20/22 1:53 AM,49,26
1,10/20/22 1:55 AM,49,26
1,10/20/22 1:56 AM,49,26
1,10/20/22 1:57 AM,49,26
1,10/20/22 1:59 AM,49,26
1,10/20/22 2:00 AM,49,26
1,10/20/22 2:01 AM,49,26
1,10/20/22 2:03 AM,49,26
1,10/20/22 2:04 AM,49,26
1,10/20/22 2:05 AM,49,26
1,10/20/22 2:07 AM,49,26
1,10/20/22 2:08 AM,49,26
1,10/20/22 2:09 AM,49,26
1,10/20/22 2:11 AM,49,26
1,10/20/22 2:12 AM,49,26
1,10/20/22 2:13 AM,49,27
1,10/20/22 2:15 AM,49,27
1,10/20/22 2:16 AM,49,27
1,10/20/22 2:17 AM,49,27
1,10/20/22 2:19 AM,49,27
1,10/20/22 2:20 AM,49,27
1,10/20/22 2:22 AM,49,27
1,10/20/22 2:23 AM,49,27
1,10/20/22 2:24 AM,49,27
1,10/20/22 2:26 AM,49,27
1,10/20/22 2:27 AM,49,27
1,10/20/22 2:28 AM,49,27
1,10/20/22 2:30 AM,49,27
1,10/20/22 2:31 AM,49,27
1,10/20/22 2:32 AM,49,27
1,10/20/22 2:34 AM,49,27
1,10/20/22 2:35 AM,49,26
1,10/20/22 2:36 AM,49,27
1,10/20/22 2:38 AM,49,27
1,10/20/22 2:39 AM,49,27
1,10/20/22 2:40 AM,49,27
1,10/20/22 2:42 AM,49,27
1,10/20/22 2:43 AM,49,27
1,10/20/22 2:44 AM,49,27
1,10/20/22 2:46 AM,49,27
1,10/20/22 2:47 AM,49,27
1,10/20/22 2:48 AM,49,27
1,10/20/22 2:50 AM,48,27
1,10/20/22 2:51 AM,48,27
1,10/20/22 2:52 AM,49,27
1,10/20/22 2:54 AM,48,27
1,10/20/22 2:55 AM,48,27
1,10/20/22 2:56 AM,48,27
1,10/20/22 2:58 AM,48,27
1,10/20/22 2:59 AM,48,27
1,10/20/22 3:01 AM,48,27
1,10/20/22 3:02 AM,48,27
1,10/20/22 3:03 AM,48,27
1,10/20/22 3:05 AM,48,27
1,10/20/22 3:06 AM,48,27
1,10/20/22 3:07 AM,48,27
1,10/20/22 3:09 AM,48,27
1,10/20/22 3:10 AM,48,27
1,10/20/22 3:11 AM,47,27
1,10/20/22 3:13 AM,48,27
1,10/20/22 3:14 AM,47,27
1,10/20/22 3:15 AM,47,27
1,10/20/22 3:17 AM,48,27
1,10/20/22 3:18 AM,47,27
1,10/20/22 3:19 AM,47,27
1,10/20/22 3:21 AM,48,27
1,10/20/22 3:22 AM,47,27
1,10/20/22 3:23 AM,47,27
1,10/20/22 3:25 AM,47,27
1,10/20/22 3:26 AM,47,27
1,10/20/22 3:27 AM,47,27
1,10/20/22 3:29 AM,47,27
1,10/20/22 3:30 AM,48,27
1,10/20/22 3:31 AM,47,27
1,10/20/22 3:33 AM,46,27
1,10/20/22 3:34 AM,48,27
1,10/20/22 3:35 AM,46,27
1,10/20/22 3:37 AM,48,27
1,10/20/22 3:38 AM,48,27
1,10/20/22 3:39 AM,48,27
1,10/20/22 3:41 AM,48,27
1,10/20/22 3:42 AM,48,27
1,10/20/22 3:44 AM,48,27
1,10/20/22 3:45 AM,48,27
1,10/20/22 3:46 AM,48,27
1,10/20/22 3:48 AM,48,27
1,10/20/22 3:49 AM,48,27
1,10/20/22 3:50 AM,48,27
1,10/20/22 3:52 AM,48,27
1,10/20/22 3:53 AM,48,27
1,10/20/22 3:54 AM,47,27
1,10/20/22 3:56 AM,48,26
1,10/20/22 3:57 AM,48,26
1,10/20/22 3:58 AM,48,26
1,10/20/22 4:00 AM,47,26
1,10/20/22 4:01 AM,47,26
1,10/20/22 4:02 AM,48,26
1,10/20/22 4:04 AM,48,26
1,10/20/22 4:05 AM,48,26
1,10/20/22 4:06 AM,48,26
1,10/20/22 4:08 AM,48,26
1,10/20/22 4:09 AM,48,26
1,10/20/22 4:10 AM,48,26
1,10/20/22 4:12 AM,48,26
1,10/20/22 4:13 AM,48,26
1,10/20/22 4:14 AM,48,26
1,10/20/22 4:16 AM,48,26
1,10/20/22 4:17 AM,48,26
1,10/20/22 4:18 AM,48,26
1,10/20/22 4:20 AM,48,26
1,10/20/22 4:21 AM,48,26
1,10/20/22 4:22 AM,47,26
1,10/20/22 4:24 AM,47,26
